"국가별"	"시점"	출생 (명)	남 (명)	여 (명)
"일본"	"1998"	1203147	617414	585733
"일본"	"1999"	1177669	604769	572900
"일본"	"2000"	1190547	612148	578399
"일본"	"2002"	1153855	592840	561015
"일본"	"2003"	1123610	576736	546874
"일본"	"2004"	1110721	569559	541162
"일본"	"2005"	1062530	545032	517498
"일본"	"2006"	1092674	560439	532235
"일본"	"2007"	1089818	559847	529971
"일본"	"2008"	1091156	559513	531643
"일본"	"2009"	1070035	548993	521042
"일본"	"2010"	1071304	550742	520562
"일본"	"2011"	1050806	538271	512535
"일본"	"2012"	1037231	531781	505450
"일본"	"2013"	1029816	527657	502159
"일본"	"2014"	1003539	515533	488006
"일본"	"2015"	1005677	515452	490225
"일본"	"2016"	976978	501880	475098
"일본"	"2017"	946065	484449	461616
"일본"	"2018"	918400	470851	447549
"일본"	"2019"	865239	443430	421809
